_id,best_profession,hard_skills,soft_skills
74536832,инженер-электрик,работа с проектной документацией;расчет потребности в строительных материалах;контроль качества производства работ на объекте;Подсчет объемов работ;исполнительная документация;наличие автомобиля,
74538185,кондитер,Приготовление различных видов теста;Приготовление кондитерских компонентов;Приготовление кондитерских компонентов;Приготовление выпечки;Приготовление рулетов;Приготовление выпечки;Приготовление кондитерских компонентов;Изготовление хлебобулочных изделий;Изготовление мелкоштучных изделий;Санитарные нормы;Техника безопасности;Санитарные нормы;Наличие медицинской книжки,Ответственность;Доброжелательность и вежливость;Аккуратность и пунктуальность
74551430,флорист,Составление композиций;Заказы;Уход за цветами;Уход за цветами;Выставление на воду;Подрезка;Смена воды;Поддержание чистоты и порядка на рабочем месте;Прием и учет цветка;Опыт флориста,Позитивный настрой;Позитивный настрой;Инициативность;Открытость;Коммуникация и работа с клиентами;Адекватное восприятие критики;Честность и порядочность;Аккуратность и пунктуальность;Ответственность;Стремление к развитию
74556728,smm-менеджер,Умение работать в соц. сетях;Умение вести таргет рекламу;Ведение и создание контента;Ведение и создание контента;Иметь публичную собственную страницу в соц. сетях,Грамотность речи;Быть на связи 14/7
74559518,ветеринарный врач,Доказательные принципы;Терапевтический приём;Базовые хирургические манипуляции;Диагностика и лечение патологий МДЖ;Знание современных протоколов и подходов ведения пациентов;Высшее образование;Чтение и интерпретация рентгена;Интерпретация анализов;Интерпретация клинической картины пациента;Работа в специальности с МДЖ от 1 года;Работа с рентгеном;Работа с экспертным УЗИ - MINDRAY Vetus 7;Работа с тонометрами;Работа с анестезиологической стойкой с полным мониторингом пациента;Работа с собственным Б/химическим и Гематологическим анализатором;Работа с рентгеном;Работа с оборудованием для эндоскопии;Официальное оформление по ТК РФ;Прохождение собеседования и тестовой работы;Обсуждение сложных клинических случаев,"Универсальность в работе;Стремление к развитию;Удобный, сменный график;Кураторская поддержка;Доверительные отношения;Карьерный рост;Посещение крупных ветеринарных мероприятий;Достойная заработная плата;Приглашение лекторов;Проведение внутренних собраний в формате конференций;Оплата 50% от стоимости внешних обучений"
74560290,инженер-конструктор,Конструкторская документация;Сопровождение производства;Работа совместно с промышленным дизайнером над разработкой новых изделий;Высшее образование;Общий опыт работы;Конструкторские программы;SolidWorks;Знание ЕСКД;Знания технологий деревообработки;Знания используемых материалов в мебельной промышленности,Эмпатия;Аккуратность и пунктуальность;Ответственность;Аккуратность и пунктуальность;Четкое выполнение регламентов;Коммуникация и работа с клиентами
74565760,менеджер по продажам,"Обработка входящих запросов/звонков;Подготовка документов для предоставления на электронных торговых площадках;КП (котировки);сертификаты;декларации;заполнение заявки на участие;Заполнение договоров по форме 44ФЗ, 223ФЗ;Подготовка документов для ФСТЭК и ФСВТС, СТ-1;Договоры;Коммерческие предложения;запрос закрывающих документов у бухгалтерии;Контроль исполнения всех этапов договоров с контрагентами;Обмен документацией;Документооборот;Работа с CRM;Передача заказа в производство;Сопровождение отгрузок;Обмен документацией;Формирование и предоставление отчетности руководителю, по запросу;Высшее образование;Общий опыт работы;Знание английского языка – Intermediate",Усидчивость;Самоорганизация;Ориентация на результат
74566164,системный администратор,Настройка ПО;Настройка ПО;техническая поддержка рабочих мест пользователей;Ремонт техники;Опыт системного администрирования,Коммуникация и работа с клиентами;Коммуникация и работа с клиентами;Коммуникация и работа с клиентами
74568289,менеджер по работе с клиентами,,Деловые переговоры;Командная работа;Командная работа;Ориентация на результат;Ответственность;Аккуратность и пунктуальность;Ориентация на результат
74570394,менеджер по работе с клиентами,Работа с 1С;Счета на оплату;умение выписывать с/ф;Накладные;Доверенности;Сверки;Продажи;Первичная бухгалтерия;Работа с клиентами;контролировать дебиторку;Доставка,Обучаемость и адаптивность;ответственность;трудолюбие;Соблюдение сроков;Коммуникация и работа с клиентами;Решение проблем
