_id,best_profession,hard_skills,soft_skills
74536832,инженер-электрик,работа с проектной документацией;расчет потребности в строительных материалах;контроль качества производства работ на объекте;Подсчет объемов работ;исполнительная документация;наличие автомобиля,
74538185,кондитер,Приготовление различных видов теста;Приготовление кондитерских компонентов;Приготовление кондитерских компонентов;Приготовление выпечки;Приготовление рулетов;Приготовление выпечки;Приготовление кондитерских компонентов;Изготовление хлебобулочных изделий;Изготовление мелкоштучных изделий;Санитарные нормы;Техника безопасности;Санитарные нормы;Наличие медицинской книжки,Ответственность
74551430,флорист,Составление композиций;Заказы;Уход за цветами;Уход за цветами;Выставление на воду;Подрезка;Смена воды;Поддержание чистоты и порядка на рабочем месте;Прием и учет цветка;Опыт флориста,Инициативность;Честность;Ответственность
74556728,smm-менеджер,Умение работать в соц. сетях;Умение вести таргет рекламу;Ведение и создание контента;Ведение и создание контента;Иметь публичную собственную страницу в соц. сетях,Слуховые и речевые способности
74559518,ветеринарный врач,Доказательные принципы;Терапевтический приём;Базовые хирургические манипуляции;Диагностика и лечение патологий МДЖ;Знание современных протоколов и подходов ведения пациентов;Высшее образование;Чтение и интерпретация рентгена;Интерпретация анализов;Интерпретация клинической картины пациента;Работа в специальности с МДЖ от 1 года;Работа с рентгеном;Работа с экспертным УЗИ - MINDRAY Vetus 7;Работа с тонометрами;Работа с анестезиологической стойкой с полным мониторингом пациента;Работа с собственным Б/химическим и Гематологическим анализатором;Работа с рентгеном;Работа с оборудованием для эндоскопии;Официальное оформление по ТК РФ;Прохождение собеседования и тестовой работы;Обсуждение сложных клинических случаев,
74560290,инженер-конструктор,Конструкторская документация;Сопровождение производства;Работа совместно с промышленным дизайнером над разработкой новых изделий;Высшее образование;Общий опыт работы;Конструкторские программы;SolidWorks;Знание ЕСКД;Знания технологий деревообработки;Знания используемых материалов в мебельной промышленности,Ответственность
74565760,менеджер по продажам,"Обработка входящих запросов/звонков;Подготовка документов для предоставления на электронных торговых площадках;КП (котировки);сертификаты;декларации;заполнение заявки на участие;Заполнение договоров по форме 44ФЗ, 223ФЗ;Подготовка документов для ФСТЭК и ФСВТС, СТ-1;Договоры;Коммерческие предложения;запрос закрывающих документов у бухгалтерии;Контроль исполнения всех этапов договоров с контрагентами;Обмен документацией;Документооборот;Работа с CRM;Передача заказа в производство;Сопровождение отгрузок;Обмен документацией;Формирование и предоставление отчетности руководителю, по запросу;Высшее образование;Общий опыт работы;Знание английского языка – Intermediate",
74566164,системный администратор,Настройка ПО;Настройка ПО;техническая поддержка рабочих мест пользователей;Ремонт техники;Опыт системного администрирования,
74568289,менеджер по работе с клиентами,,Ведение переговоров;Работа в команде;Работа в команде;Ответственность
74570394,менеджер по работе с клиентами,Работа с 1С;Счета на оплату;умение выписывать с/ф;Накладные;Доверенности;Сверки;Продажи;Первичная бухгалтерия;Работа с клиентами;контролировать дебиторку;Доставка,Адаптивность/гибкость;Ответственность;Управление временем;Решение проблем
74571137,флорист,Составление композиций;Уход за цветами;Опыт флориста,Клиентоориентированность
74572644,менеджер по туризму,Опыт в туризме;Системы бронирования туров;Знание турбазы;Работа с клиентами;работа с потоком клиентов в соцсетях;Работа с клиентами;Туры;Договоры;Оплата;Бронирование;предоставление информации по туру;отслеживание отправления и возвращения клиента,Ответственность;Честность;Работа в команде
74574403,воспитатель,воспитатель;Общий опыт работы,Креативность
74575238,слесарь по ремонту автомобилей,Должностная инструкция автомеханика;Обслуживание автотранспорта;Техника безопасности;Диагностика;Ремонт техники,
74577646,smm-менеджер,съемка фото и видео на смартфон;монтаж видео;знание видеомонтажных программ;Понимание дизайна;Понимание композиции;опыт продвижения медиаконтента в социальных сетях;Instagram;Vk;Telegram;подготовка коротких видеороликов;feature-видео;caption-видео;Архивация;Копирайтинг;адаптация текстов под стилистику и тональность компании;Конкурсы;проведение опросов;проведение марафонов;создание увлекательного контента в соц.сетях,Адаптивность/гибкость;Работа в команде;Управление временем;Инициативность;Устная коммуникация;Адаптивность/гибкость;Креативность;Честность;Ответственность;Управление временем;Внимательность
74578009,менеджер по туризму,Продажи;Продажи;реализовывать услуги компании;Выполнение плана продаж;проводить мероприятия для партнеров;Работа с крупными чеками;работать в amoCRM-системе,Системный анализ;Наставничество
74579229,менеджер по продажам,Обработка входящих запросов/звонков;Коммерческие предложения;Оформление документов;Оформление документов;Оформление документов;Выполнение плана продаж;Поиск клиентов;Поиск клиентов;Холодные звонки;Excel;Владение ПК,Слуховые и речевые способности;Ответственность;Умение убеждать;Работа в команде
74583160,медсестра/медбрат,Уход и контроль за подопечными;Уход и контроль за подопечными;Соблюдение рекомендаций врача;Измерение артериального давления;Гигиенические процедуры;Бытовое обслуживание;Организация досуга;Соблюдение диеты,Ответственность
74586738,флорист,,Ответственность
74588368,повар,приготовление сендвичей,Ответственность;Управление временем;Инициативность;Адаптивность/гибкость
74588623,менеджер по продажам,Работа с маркетплейсами;Работа с карточками товаров;Работа с карточками товаров;Русский язык,Слуховые и речевые способности;Адаптивность/гибкость;Работа в команде
74590213,дизайнер интерьера,Фотореалистичная визуализация;Опыт работы с графическими редакторами 3ds Max;Опыт работы с графическими редакторами Corona;Навыки объемно-пространственной композиции,Управление временем;Креативность
74591041,сварщик,работа вахтовым методом,Честность
74592572,ветеринарный врач,Терапевтический приём;Хирургическое вмешательство;Интерпретация анализов;Разработка плана лечения;Контроль амбулаторных карт;Корректировка;Работа с клиентами;Высшее образование;Практический опыт работы ветеринарным хирургом;Доказательные принципы,
74593724,следователь,рассмотрение материалов;доследственная проверка;Высшее образование,
74593931,ветеринарный врач,физиология;анатомия животных;перевязки;операции;вскрытия;болезни животных;методики обследования;лечение заболеваний;современные лекарства;медицинское оборудование;высшее образование,Память;Аналитическое мышление
74594500,менеджер по туризму,Туры;Обработка входящих запросов/звонков;Работа с клиентами;Работа с клиентами;Работа с клиентами;Бронирование;Организация трансферов;Питание;Организация других услуг;Документооборот;Ведение туристов в полном цикле тура;Высшее образование;Специализированное образование;Свободное владение узбекским языком;Русский язык;Word;Excel;Знание Power Point;Битрикс;Знание турбазы;Знание турбазы,Клиентоориентированность;Адаптивность/гибкость;Креативность;Стрессоустойчивость
74599781,таргетолог,Разработка стратегии;Разработка офферов;Создание рекламных креативов;Запуск рекламы через рекламный кабинет Фейсбук;Работа с CRM;Базовые навыки работы в программах Adobe Photoshop;Умение создавать продающие офферы и сильные смыслы,Креативность;Адаптивность/гибкость;Ответственность
74601566,маркетолог,Исследование рынка;Исследование рынка;Изучение поведения потребителей;Выбор целевого рынка;Разработка конкурентного преимущества;Разработка стратегии;Тактическое управление товаром компании;Контроль документов;Анализ результатов работ,
74601803,smm-менеджер,разработка сторитейлинга;съёмки интересных моментов в формате Live;создание трендовых риелс;ведение аккаунта в Инстаграмм;дублирование контента;Разработка концепции съёмок;Реализация съёмок;контроль выхода публикаций;запуск активностей и конкурсов;анализ популярных и интересных блоггеров;подбор интересных кандидатов для сотрудничества;развитие реализуемого бренда,Креативность;Инициативность;Работа в команде
74602640,фармацевт,Владение ПК;Работа с 1С;Казахский язык;Русский язык,Устная коммуникация
74602696,бухгалтер ,Работа с маркетплейсами;Первичная бухгалтерия;обработка первичной документации;Оформление документов;Контроль документов;ввод реквизитов;Отчетность;Оформление документов;Оформление документов;перечисление денежных средств;Отчетность;выполнение поручений руководителя;Взаиморасчеты;Сверки;составление писем;Контроль документов;запрос документов;Учетные документы;Учетные документы;Документы;Оформление документов;Архивация;Контроль документов;Архивация;Отчетность;Работа с 1С;знание программы SoykaSoft,Внимательность;Адаптивность/гибкость
74603977,бухгалтер ,Внесение и списание товаров в базу данных склада;Контроль и учет ТМЦ;Оформление отгрузочных листов и доверенностей;Контроль и учет ТМЦ;Поддержание чистой номенклатурной базы;Взаимодействие с ИФНС;Отчетность;Первичная бухгалтерия;Сверки;Инвентаризация;Обмен документацией;Корректировка;Исправления и акты по разногласиям;Согласование документов в ЭДО;Налоговый учет;Бухгалтерский учет;Бухгалтерский опыт;Взаиморасчеты;Полная зона ответственности за участок;Работа с 1С;Word;Excel;Уверенный пользователь Диадок;Уверенный пользователь Мой склад,Слуховые и речевые способности;Целеполагание
74607163,бухгалтер ,Бухгалтерский учет;Налоговый учет;Отчетность;Владение ПК;Знание 1С 7.7;Опыт работы с агентскими договорами;Бухгалтерский учет;Налоговый учет;Заработная плата;Заработная плата;Отчетность в ФСЗН;Отчетность в Белгосстрах;Отчетность;Отчетность;Сверки;Взаиморасчеты;Закрытие периодов;Мониторинг изменений законодательства;Документооборот,Инициативность;Ответственность
74607276,менеджер по продажам,Продажи;консультация спортивных товаров;работа с АВИТО;Закупка и подбор товара;Доставка;расчет стоимости установки оборудования;выявление потребности;Оформление документов;работа с возражениями;презентация оборудования;Работа с 1С;Договоры;Владение ПК;Продажи;Работа с информацией,Устная коммуникация;Ответственность;Стрессоустойчивость;Память
74607603,медсестра/медбрат,Сопровождение подопечных;Гигиенические процедуры;Помощь в приеме пищи;Уход и контроль за подопечными;Смена нательного и постельного белья;Сопровождение подопечных;Уход и контроль за подопечными,Ответственность
74610449,менеджер по туризму,"Обработка входящих запросов/звонков;Продажи;Работа с клиентами;оформление договоров с туристами;Бронирование;контроль оплат;постпродажное обслуживание;сбор, оформление и подача документов на визу;выполнение плана продаж;посещение обучающих мероприятий;Опыт в туризме;знание географии;Знание турбазы;Зарубежные поездки;Системы бронирования туров;Системы бронирования туров;Знание турпродукта;Системы бронирования туров;уверенный пользователь ПК;знание Word;знание Excel;знание Power Point;знание Acrobat;Работа с CRM",Слуховые и речевые способности;Стрессоустойчивость;Внимательность
74611595,менеджер по продажам,Поиск клиентов;Работа с клиентами;Вывод на подписание договора;Продажи;Размещение на площадках;Обработка входящих запросов/звонков,Стрессоустойчивость;Адаптивность/гибкость;Принятие решений
74614575,smm-менеджер,разработка и реализация SMM стратегии и контент плана;Создание контента;Создание контента;анализ аккаунтов конкурентов;разработка механик вовлечения аудитории;коллаборации с блогерами и партнерами;Конкурсы;разработка чек-листов/тестов;Копирайтинг;увеличение охватов и активности аккаунта;грамотная письменная казахская и русская речь;владение мобилографией;Опыт SMM;понимание специфики соцсетей и трендов SMM,Креативность;Критическое мышление;Ответственность;Внимательность
74615158,менеджер по работе с клиентами,Товары,
74615846,бизнес-аналитик,Оформление документов;Ввод и обработка данных;Анализ электронных таблиц;Создание диаграмм и графиков;Создание карт процессов;Исследование рынка;Административные задания,
74618351,инженер-конструктор,Конструкторская документация;использование средств автоматизированного проектирования;разработка и оформление КД сложных деталей с натуры;изучение и применение современных технологий проектирования деталей и узлов;Высшее образование;опыт работы в качестве инженера-конструктора на производственном предприятии;Конструкторская документация;опыт работы со станками ЧПУ;уверенный пользователь ПК;Word;Excel;Компас 3D;CATIA,
74619096,менеджер по продажам,Битрикс;Продажи;работа с продуктовой воронкой;Инструменты продаж;Обработка входящих запросов/звонков;работа по теплой базе;Поиск клиентов;выполнение плана продаж;Битрикс;предоставление ежедневных отчетов;Оформление документов;Продажи;Русский язык;Казахский язык;Excel;PowerPoint;Word,Работа в команде;Слуховые и речевые способности;Ответственность;Устная коммуникация
